No, RawRotation, Rotation, CompRotation, ElecCompRotation, Mech_deg, Mech_Comp_deg
836,7539,7539,5753.5,1141.5,345.672,0
837,7689,7689,5910.5,1298.5,349.122,0
838,7685,7685,5899.5,1287.5,348.771,0
839,7263,7254,5468.5,856.5,339.211,0
840,6874,6873,5087.5,475.5,330.993,0
841,6831,6832,5046.5,434.5,330.157,0
842,6856,6858,5072.5,460.5,330.729,0
843,6721,6716,4930.5,318.5,327.476,0
844,6547,6547,4761.5,149.5,323.873,0
845,6594,6594,4808.5,194.5,324.861,0
846,6821,6821,5035.5,429.5,330.026,0
847,7311,7311,5531.5,919.5,340.794,0
848,7754,7754,5970.5,1358.5,350.441,0
849,8267,-8116,6489.5,1877.5,1.82395,0
850,9140,-7231,7366.5,448.5,21.0963,0
851,9911,-6467,8130.5,1212.5,37.8855,0
852,10261,-6121,8476.5,1558.5,45.489,0
853,10293,-6090,8507.5,1589.5,46.1702,0
854,10257,-6126,8471.5,1553.5,45.3791,0
855,10401,-5980,8617.5,1699.5,48.6094,0
856,10720,-5663,8939.5,2021.5,55.6635,0
857,11258,-5117,9480.5,256.5,67.706,0
858,12070,-4313,10284.5,1060.5,85.4621,0
859,12911,-3472,11125.5,1911.5,103.921,0
860,13661,-2722,11875.5,354.5,120.381,0
861,14167,-2216,12381.5,851.5,131.303,0
862,14320,-2063,12534.5,1000.5,134.577,0
863,14051,-2332,12265.5,729.5,128.622,0
864,13873,-2510,12087.5,557.5,124.842,0
865,14095,-2288,12310.5,780.5,129.742,0
866,14323,-2060,12537.5,1009.5,134.775,0
867,14483,-1900,12699.5,1169.5,138.291,0
868,14338,-2045,12548.5,1018.5,134.973,0
869,13762,-2621,11968.5,438.5,122.227,0
870,13267,-3116,11477.5,2253.5,111.437,0
871,12874,-3509,11085.5,1861.5,102.823,0
872,12549,-3834,10760.5,1536.5,95.6806,0
873,12575,-3803,10794.5,1570.5,96.5377,0
874,12866,-3515,11082.5,1858.5,102.779,0
875,13316,-3062,11535.5,5.5,112.887,0
876,14061,-2322,12275.5,754.5,129.171,0
877,14957,-1426,13182.5,1652.5,148.905,0
878,15755,-628,13978.5,142.5,166.397,0
879,16247,-136,14466.5,630.5,177.121,0
880,78,78,14676.5,840.5,181.714,0
881,74,74,14672.5,836.5,181.626,0
882,69,69,14672.5,836.5,181.626,0
883,320,320,14921.5,1085.5,187.098,0
884,568,568,15168.5,1332.5,192.526,0
885,885,885,15488.5,1652.5,199.558,0
886,1304,1311,15909.5,2073.5,208.92,0
887,1933,1944,158.5,158.5,222.896,0
888,2768,2778,992.5,992.5,241.245,0
889,3624,3631,1845.5,1845.5,260.012,0
890,4392,4392,2606.5,300.5,276.691,0
891,4949,4949,3163.5,857.5,288.866,0
892,5055,5055,3269.5,963.5,291.041,0
893,4608,4608,2822.5,508.5,281.087,0
894,4215,4215,2429.5,122.5,272.604,0
895,4205,4205,2419.5,114.5,272.428,0
896,4286,4286,2500.5,196.5,274.23,0
897,4256,4256,2468.5,162.5,273.483,0
898,4294,4294,2510.5,204.5,274.406,0
899,4522,4522,2738.5,432.5,279.416,0
900,4773,4773,2994.5,688.5,285.042,0
901,5145,5149,3363.5,1057.5,293.261,0
902,5376,5381,3595.5,1289.5,298.315,0
903,5775,5784,3998.5,1692.5,307.259,0
904,6546,6546,4769.5,157.5,324.048,0
905,7306,7312,5526.5,914.5,340.816,0
906,7701,7701,5915.5,1303.5,349.232,0
907,7754,7754,5969.5,1357.5,350.419,0
908,7657,7657,5871.5,1254.5,348.155,0
909,7609,7611,5825.5,1213.5,347.342,0
910,7454,7454,5662.5,1050.5,343.672,0
911,6856,6856,5070.5,449.5,330.465,0
912,6342,6338,4552.5,2246.5,319.17,0
913,5990,5988,4202.5,1896.5,311.588,0
914,5717,5717,3931.5,1623.5,305.589,0
915,5823,5823,4041.5,1735.5,308.05,0
916,6320,6325,4539.5,2233.5,319.236,0
917,6923,6923,5137.5,531.5,332.267,0
918,7522,7522,5736.5,1131.5,345.452,0
919,8024,8024,6238.5,1632.5,356.462,0
920,8451,-7932,6665.5,2059.5,5.82346,0
921,8835,-7548,7049.5,132.5,14.1521,0
922,9183,-7200,7401.5,483.5,21.8655,0
923,9389,-6994,7603.5,685.5,26.3045,0
