No, RawRotation, Rotation, CompRotation, ElecCompRotation, Mech_deg, Mech_Comp_deg
131,7137,7141,5355.5,743.5,336.992,0
132,7508,7508,5722.5,1113.5,345.057,0
133,7736,7736,5950.5,1340.5,350.045,0
134,7790,7790,6004.5,1389.5,351.122,0
135,7911,7911,6125.5,1516.5,353.913,0
136,8144,8144,6358.5,1748.5,359.011,0
137,8574,-7809,6788.5,2185.5,8.59236,0
138,9373,-7010,7587.5,681.5,26.2166,0
139,10306,-6077,8520.5,1613.5,46.6976,0
140,11117,-5266,9331.5,116.5,64.4756,0
141,11708,-4675,9922.5,702.5,77.3532,0
142,11887,-4496,10100.5,876.5,81.1769,0
143,11576,-4813,9784.5,560.5,74.0789,0
144,11268,-5115,9482.5,258.5,67.5961,0
145,11311,-5072,9526.5,302.5,68.5631,0
146,11378,-5005,9591.5,367.5,69.9915,0
147,11213,-5170,9423.5,199.5,66.2996,0
148,11149,-5234,9364.5,140.5,65.0031,0
149,11438,-4943,9654.5,430.5,71.3759,0
150,11854,-4529,10075.5,851.5,80.6275,0
151,12358,-4025,10576.5,1352.5,91.6372,0
152,12832,-3551,11052.5,1828.5,102.097,0
153,13359,-3018,11579.5,49.5,113.832,0
154,13984,-2399,12198.5,680.5,127.545,0
155,14546,-1837,12760.5,1233.5,139.697,0
156,14604,-1779,12818.5,1288.5,140.796,0
157,14357,-2026,12571.5,1041.5,135.434,0
158,14126,-2257,12340.5,810.5,130.358,0
159,13809,-2578,12019.5,489.5,123.26,0
160,13543,-2840,11757.5,227.5,117.524,0
161,13582,-2799,11798.5,268.5,118.557,0
162,13875,-2508,12089.5,559.5,125.04,0
163,14449,-1934,12663.5,1139.5,137.632,0
164,14896,-1487,13110.5,1584.5,147.411,0
165,15500,-883,13714.5,2194.5,160.816,0
166,17,17,14615.5,791.5,180.637,0
167,838,838,15436.5,1611.5,198.657,0
168,1348,1348,15946.5,2110.5,209.667,0
169,1669,1669,16267.5,125.5,216.787,0
170,1957,1961,175.5,175.5,223.204,0
171,1977,1974,188.5,188.5,223.357,0
172,1908,1910,124.5,124.5,222.039,0
173,2009,2009,223.5,223.5,224.148,0
174,2224,2224,442.5,442.5,228.961,0
175,2607,2607,823.5,823.5,237.334,0
176,2932,2932,1149.5,1149.5,244.498,0
177,3450,3462,1676.5,1676.5,256.276,0
178,4303,4303,2517.5,211.5,274.846,0
179,5167,5176,3390.5,1084.5,293.898,0
180,5577,5577,3791.5,1485.5,302.578,0
181,5742,5744,3958.5,1652.5,306.27,0
182,5969,5969,4183.5,1880.5,311.237,0
183,6226,6226,4445.5,2139.5,316.928,0
184,6600,6600,4820.5,208.5,325.169,0
185,7034,7034,5252.5,640.5,334.662,0
186,7430,7430,5644.5,1037.5,343.387,0
187,7765,7765,5979.5,1371.5,350.726,0
188,7935,7935,6149.5,1540.5,354.44,0
189,8256,-8127,6470.5,1866.5,1.58222,0
190,8975,-7408,7189.5,280.5,17.4045,0
191,9704,-6679,7918.5,1004.5,33.3146,0
192,10108,-6275,8322.5,1408.5,42.1927,0
193,10260,-6123,8474.5,1556.5,45.445,0
194,10340,-6043,8554.5,1635.5,47.1811,0
195,10529,-5854,8743.5,1830.5,51.4662,0
196,10977,-5406,9191.5,2282.5,61.3991,0
197,11640,-4743,9854.5,636.5,75.9028,0
198,12239,-4144,10453.5,1236.5,89.088,0
199,12755,-3628,10969.5,1753.5,100.449,0
200,13231,-3152,11445.5,2228.5,110.888,0
201,13471,-2912,11685.5,156.5,116.03,0
