time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.215,10.702,-0.0664371,0.0746153,-0.0081782,0.0353484,0.0938014
0.216,10.7459,0.00930374,0.136803,-0.146106,0.195781,0.0426425
0.216,10.702,-0.0225871,0.0937499,-0.0711627,0.105697,0.0564937
0.217,10.724,-0.039197,0.0638521,-0.0246552,0.0477643,0.062897
0.218,10.7459,-0.00199095,0.130823,-0.128832,0.176908,0.0491918
0.218,10.724,-0.039197,0.0542849,-0.0150879,0.0351857,0.0588363
0.219,10.7459,-0.0338818,0.151153,-0.117272,0.172941,0.0885397
0.22,10.7679,-0.0604576,0.039934,0.0205236,-0.00561639,0.0750967
0.22,10.658,-0.0119568,0.129627,-0.11767,0.165503,0.0583206
0.222,10.7679,-0.0551424,0.00525261,0.0498898,-0.0477462,0.0576328
0.223,10.724,-0.0558068,0.0363462,0.0194606,-0.00551832,0.0691644
0.223,10.8119,-0.0604576,0.132019,-0.0715614,0.120594,0.107992
0.224,10.7679,-0.0132856,0.127235,-0.11395,0.160751,0.0592358
0.224,10.702,0.00863935,0.0722235,-0.0808628,0.107272,0.0179575
0.225,10.7899,-0.0225871,0.112884,-0.0902973,0.131862,0.0633963
0.226,10.7679,-0.0498273,0.0734194,-0.0235921,0.0511718,0.0763683
0.226,10.7459,-0.0186008,0.0734194,-0.0548186,0.0822283,0.0444971
0.227,10.7459,-0.0571356,0.0554808,0.00165483,0.0193671,0.0773191
0.227,10.658,-0.0312243,0.0937499,-0.0625256,0.0969179,0.0654245
0.228,10.7459,-0.039197,-0.00192284,0.0411198,-0.0418814,0.0384303
0.229,10.724,-0.039197,0.0734194,-0.0342224,0.0609965,0.0659981
0.23,10.7899,-0.0119568,0.0925539,-0.0805971,0.114528,0.0453909
0.231,10.7459,-0.0332174,0.135607,-0.102389,0.152123,0.0826731
0.232,10.702,-0.0445121,0.0423258,0.00218635,0.0133769,0.0599887
0.234,10.702,-0.0259091,0.0985335,-0.0726244,0.108597,0.0621381
0.236,10.702,-0.0498273,0.226496,-0.176668,0.259014,0.133816
0.237,10.724,-0.0478341,0.0172117,0.0306224,-0.0242585,0.0542276
0.238,10.724,-0.054478,0.0602644,-0.00578638,0.0279352,0.0765033
0.239,10.702,-0.0551424,0.163113,-0.10797,0.167809,0.114647
0.24,10.7679,-0.0445121,0.0949458,-0.0504336,0.0857037,0.0787049
0.241,10.7459,0.0139545,0.112884,-0.126839,0.168116,0.0276167
0.241,10.724,-0.0225871,0.154741,-0.132154,0.188887,0.0779877
0.242,10.7679,-0.0411902,0.170288,-0.129098,0.19155,0.103293
0.243,10.7679,-0.0225871,0.091358,-0.0687709,0.102575,0.0553556
0.244,10.8119,-0.0385326,0.0734194,-0.0348868,0.0620127,0.0651666
0.245,10.7459,-0.020594,0.0937499,-0.0731559,0.107973,0.0539138
0.245,10.724,-0.00730609,0.159525,-0.152219,0.211035,0.064315
0.246,10.7459,-0.0225871,-0.00192284,0.02451,-0.0250699,0.0221153
0.247,10.7679,-0.0551424,0.0626562,-0.00751381,0.0303303,0.078203
0.249,10.724,-0.0345462,0.112884,-0.0783382,0.119949,0.0763651
0.25,10.702,-0.0345462,0.0722235,-0.0376773,0.0640212,0.0610781
0.251,10.658,-0.0438477,0.0172117,0.026636,-0.0204114,0.050117
0.252,10.702,-0.0438477,0.0495012,-0.0056535,0.0236791,0.0620021
0.254,10.68,-0.0684303,0.0172117,0.0512186,-0.0452312,0.0747832
0.255,10.702,-0.0504917,0.112884,-0.0623927,0.103573,0.0922437
0.257,10.7459,0.0172765,0.178659,-0.195936,0.261763,0.0457016
0.258,10.7899,-0.0571356,0.0937499,-0.0366143,0.0710372,0.0909837
0.259,10.702,-0.0551424,0.00644852,0.0486939,-0.0459558,0.0578051
0.261,10.7459,-0.0504917,0.103317,-0.0528255,0.0912188,0.0877126
0.262,10.8119,-0.0445121,0.0949458,-0.0504336,0.0861251,0.0782435
0.262,10.7679,-0.0338818,0.0889662,-0.0550844,0.0879046,0.0661063
0.263,10.7459,-0.0518205,0.141586,-0.0897657,0.14199,0.103096
0.264,10.7679,-0.035875,0.0734194,-0.0375444,0.0651612,0.061976
0.265,10.8338,-0.0551424,0.110493,-0.0553502,0.0961622,0.0952143
0.266,10.8338,-0.0551424,0.0841826,-0.0290402,0.060415,0.0855614
0.267,10.7679,-0.0232515,0.0841826,-0.060931,0.092382,0.0534622
0.268,10.7459,-0.054478,0.0758112,-0.0213332,0.0498394,0.08177
0.268,10.7679,-0.000662158,0.0937499,-0.0930877,0.12772,0.0337987
0.269,10.7679,-0.0498273,0.111688,-0.0618612,0.103092,0.0903101
0.269,10.8119,-0.0843757,0.0207994,0.0635763,-0.0548626,0.0926494
0.27,10.7459,-0.0285667,0.0829867,-0.05442,0.0850225,0.0586136
0.271,10.702,-0.0863689,-0.0162737,0.102643,-0.10807,0.0811221
0.273,10.702,-0.0458409,0.124843,-0.0790026,0.125052,0.0910539
0.274,10.702,-0.00199095,0.112884,-0.110893,0.152263,0.0427206
0.274,10.702,-0.0312243,0.0566767,-0.0254524,0.046259,0.0519147
0.275,10.68,-0.0225871,0.132019,-0.109432,0.157647,0.0711464
0.275,10.702,0.00863935,0.111688,-0.120328,0.161332,0.0316178
0.276,10.702,-0.0332174,0.0746153,-0.0413979,0.0687805,0.0604473
0.277,10.702,-0.0524848,0.0829867,-0.0305018,0.0603062,0.0832765
0.277,10.658,0.0298999,0.147566,-0.177466,0.231307,0.025703
0.278,10.68,-0.0332174,0.0590685,-0.0258511,0.0470937,0.0551629
0.278,10.658,-0.0551424,0.151153,-0.096011,0.150574,0.111506
0.279,10.5921,0.0033242,0.122452,-0.125776,0.170307,0.0426676
0.28,10.6141,-0.0338818,0.130823,-0.0969412,0.14426,0.0827597
0.28,10.68,-0.0737454,0.130823,-0.0570776,0.103795,0.122348
0.281,10.5921,-0.0657727,0.0841826,-0.0184099,0.048558,0.0969216
0.282,10.658,-0.054478,0.126039,-0.0715614,0.117273,0.101104
0.283,10.68,-0.0305599,0.110493,-0.0799327,0.120077,0.0715064
0.284,10.658,-0.0863689,0.111688,-0.0253196,0.0653244,0.127877
0.286,10.68,-0.0305599,0.122452,-0.0918918,0.136191,0.076318
0.286,10.68,-0.0551424,0.149958,-0.0948151,0.149241,0.110657
0.287,10.68,-0.0225871,0.0734194,-0.0508323,0.0776313,0.0495772
0.287,10.68,0.0192696,0.14637,-0.165639,0.218974,0.0358111
0.288,10.7459,0.00930374,0.127235,-0.136539,0.182953,0.038034
0.289,10.724,-0.032553,0.0841826,-0.0516295,0.0825174,0.0632685
0.289,10.702,-0.0624507,0.145174,-0.0827232,0.136922,0.114328
0.29,10.7459,-0.0438477,0.00525261,0.0385951,-0.0363719,0.0458136
0.291,10.7459,-0.039197,0.149958,-0.110761,0.166012,0.0938893
0.292,10.7459,0.00664617,0.111688,-0.118335,0.159347,0.0336187
0.292,10.7679,-0.0199296,0.106905,-0.0869753,0.126645,0.0578922
0.293,10.724,-0.0657727,0.0172117,0.048561,-0.041788,0.0721225
0.293,10.7679,0.0139545,0.14637,-0.160324,0.214256,0.0376432
0.294,10.724,-0.0232515,0.078203,-0.0549515,0.0839139,0.0515523
0.296,10.7459,-0.054478,0.0949458,-0.0404677,0.0755648,0.088939
0.296,10.7899,-0.0385326,0.0459135,-0.00738092,0.0244003,0.0552441
0.297,10.724,-0.0438477,0.152349,-0.108502,0.164915,0.0976462
0.297,10.724,0.00863935,0.122452,-0.131091,0.176238,0.0345547
0.298,10.7679,-0.0445121,0.0734194,-0.0289073,0.0560563,0.0711692
0.298,10.7899,-0.0265735,0.065048,-0.0384745,0.0627465,0.0498053
0.299,10.7459,-0.0119568,0.0937499,-0.081793,0.116286,0.0458223
0.299,10.7459,-0.0704235,0.0937499,-0.0233264,0.0580458,0.104825
0.3,10.7679,-0.0338818,0.0734194,-0.0395376,0.0664827,0.0606766
0.3,10.68,-0.0126212,0.132019,-0.119398,0.167954,0.0602945
0.301,10.724,-0.0491629,0.0387381,0.0104248,0.00348903,0.0633571
0.302,10.7899,-0.039197,0.149958,-0.110761,0.166012,0.093444
