time, angle [deg], U Currrent [A], V Current [A], W Current [A]
1.218,219.468,-0.0654892,0.714379,-0.202085
1.224,219.49,-0.0623126,0.828738,-0.102021
1.231,219.49,-0.0718426,0.676259,-0.106786
1.237,219.468,-0.0654892,0.850975,-0.616638
1.244,219.446,-0.0670776,0.730262,-0.122669
1.251,219.534,-0.0639009,0.831915,-0.116316
1.256,219.49,-0.0623126,0.682612,-0.68176
1.262,219.49,-0.0670776,0.708026,-0.0956674
1.267,219.512,-0.0623126,0.708026,-0.19732
1.273,219.49,-0.0639009,0.74138,-0.877124
1.278,219.49,-0.0670776,0.946275,-0.28309
1.284,219.49,-0.0686659,0.92245,-0.788178
1.289,219.512,-0.0670776,0.690554,-0.812003
1.295,219.468,-0.0639009,0.682612,-0.111551
1.3,219.512,-0.0686659,1.05587,-0.835827
1.306,219.49,-0.0670776,0.892271,-0.0940791
1.311,219.468,-0.0623126,0.882742,-0.0829608
1.318,219.512,-0.0670776,0.83668,-0.0829608
1.324,219.468,-0.0686659,0.722321,-0.0829608
1.329,219.512,-0.0639009,0.887506,-0.688113
1.335,219.534,-0.0686659,1.0241,-0.221145
1.341,219.512,-0.0639009,0.731851,-0.826298
1.346,219.534,-0.0654892,1.05269,-0.878712
1.352,219.512,-0.0639009,0.792207,-0.883477
1.357,219.556,-0.0686659,0.992336,-0.854887
1.363,219.534,-0.0670776,0.806502,-0.414921
1.369,219.49,-0.0639009,0.715967,-0.878712
1.374,219.468,-0.0670776,0.943098,-0.850122
1.38,219.512,-0.0639009,0.804914,-0.327563
1.385,219.534,-0.0686659,0.838268,-0.802473
1.391,219.512,-0.0686659,0.870035,-0.818356
1.396,219.468,-0.0670776,0.673082,-0.883477
1.401,219.49,-0.0670776,0.981218,-0.69129
1.407,219.49,-0.0639009,0.742969,-0.688113
1.412,219.49,-0.0607243,0.784265,-0.875536
1.418,219.534,-0.0686659,0.825562,-0.885066
1.423,219.49,-0.0670776,0.90339,-0.866006
1.429,219.49,-0.0623126,1.01298,-0.870771
1.435,219.49,-0.0623126,1.00187,-0.125846
1.441,219.49,-0.0702542,0.665141,-0.6627
1.447,219.49,-0.0654892,0.939921,-0.864417
1.452,219.512,-0.0623126,0.885918,-0.843769
1.457,219.49,-0.0670776,1.03363,-0.419686
1.463,219.49,-0.0654892,0.928803,-0.484807
1.469,219.49,-0.0654892,0.633374,-0.742116
1.474,219.512,-0.0686659,0.993924,-0.0813725
1.48,219.49,-0.0670776,0.642904,-0.0924908
1.485,219.512,-0.0639009,0.819208,-0.864417
1.491,219.468,-0.0686659,0.998689,-0.680171
1.499,219.49,-0.0686659,0.841445,-0.0877258
1.505,219.512,-0.0623126,0.744557,-0.113139
1.51,219.468,-0.0623126,0.819208,-0.886654
1.516,219.556,-0.0623126,1.03522,-0.775471
1.522,219.424,-0.0639009,0.776324,-0.862829
1.527,219.314,-0.0670776,0.755675,-0.183025
1.533,216.984,-0.0639009,0.723909,-0.808826
1.538,215.446,-0.0686659,0.979629,-0.730998
1.543,216.062,-0.0639009,0.958981,-0.279913
1.549,217.402,-0.0686659,0.998689,-0.789766
1.554,219.402,-0.0686659,0.897036,-0.761176
1.561,222.94,-0.0639009,0.839857,-0.0797842
1.567,227.005,-0.0639009,1.01775,-0.24497
1.572,234.037,0.801737,-0.16873,-0.0797842
1.578,245.179,-0.0686659,-0.0559593,-0.0956674
1.583,257.727,-0.0654892,0.701672,-0.0797842
1.59,275.065,-0.0702542,0.752499,-0.786589
1.595,291.415,0.0838134,-0.0718426,-0.238617
1.6,306.688,-0.703996,0.816032,-0.0797842
1.606,324.092,-0.0766075,1.07175,-0.866006
1.612,341.409,0.110815,-0.0781959,-0.257677
1.617,358.418,-0.0114862,0.839857,-0.0797842
1.623,377.053,-0.0718426,1.14799,-0.910479
1.628,396.347,0.113992,-0.0781959,-0.140141
1.633,415.114,0.679436,-0.0797842,-0.699231
1.641,444.429,0.89386,-0.799296,-0.30215
1.647,464.691,0.0631652,-0.0702542,-0.57693
1.652,486.138,0.644493,-0.341858,-0.0766075
1.657,507.564,-0.680171,0.490425,-0.0813725
1.663,529.496,-0.0877258,0.82715,-0.929539
1.668,552.482,-0.0702542,-0.0781959,-0.0702542
1.674,576.501,-0.0829608,0.728674,-0.840592
1.679,601.641,0.166406,-0.0829608,-0.31168
1.685,626.099,0.611138,-0.0766075,-0.0909025
1.69,650.074,0.140993,-0.0797842,-0.297385
1.696,672.226,0.414185,-0.0781959,-0.72941
1.701,695.344,0.590489,-0.742116,-0.0829608
1.706,718.901,-0.759588,0.757264,-0.0750192
1.712,742.964,0.647669,-0.608697,-0.0829608
1.717,767.774,-0.656347,0.607961,-0.0797842
1.723,793.178,0.515838,-0.0750192,-0.0781959
1.728,818.34,-0.622992,0.75091,-0.0829608
1.733,843.809,0.55237,-0.113139,-0.0829608
1.739,868.817,-0.449864,0.579371,-0.0797842
1.744,894.484,0.499955,-0.621403,-0.0781959
1.749,920.877,-0.673818,0.484072,-0.0813725
1.755,948.587,0.557135,-0.686525,-0.0829608
1.76,976.43,-0.543575,0.511073,-0.0829608
1.766,1004.65,0.728674,-0.399038,-0.0797842
1.771,1030.47,-0.0639009,0.57143,-0.0813725
1.776,1056.24,0.549193,-0.759588,-0.0829608
1.782,1082.18,-0.0972558,0.715967,-0.0813725
1.787,1109.36,0.148935,-0.0750192,-0.319621
1.793,1137.22,0.558723,-0.0797842,-0.252912
1.798,1165,0.188643,-0.0781959,-0.343446
1.803,1192.51,0.363359,-0.0718426,-0.160789
1.809,1220.2,-0.0639009,0.018692,-0.170319
1.814,1247.28,-0.100432,0.8748,-0.656347
1.82,1274.81,-0.0702542,-0.157612,0.0218687
1.825,1304.19,-0.0845492,1.09399,-0.858064
1.83,1333.84,-0.0702542,0.442775,-0.0813725
1.836,1362.34,0.398302,-0.657935,-0.0829608
1.841,1389.72,-0.154436,0.657199,-0.0797842
1.846,1416.71,0.539663,-0.796119,-0.0940791
1.852,1443.67,0.520603,-0.0750192,-0.503867
1.857,1472.77,0.202938,-0.0781959,-0.35933
1.863,1501.57,0.585725,-0.0797842,-0.527692
1.868,1530.91,-0.0654892,-0.0384877,-0.106786
1.873,1559.59,-0.0940791,1.07175,-0.921597
1.879,1587.96,-0.34027,0.606373,-0.0813725
1.884,1616.24,0.623844,-0.486396,-0.0829608
1.89,1646,-0.113139,0.41895,-0.645228
1.895,1677.14,0.196585,-0.0797842,-0.356153
1.901,1707.9,0.650846,-0.0750192,-0.109962
1.906,1737.37,-0.0623126,-0.0527826,-0.0877258
1.911,1765.26,-0.0639009,0.76997,-0.959717
1.917,1793.32,-0.0639009,-0.289443,0.148935
1.922,1823.21,0.574606,-0.3498,-0.0813725
1.928,1853.07,-0.745293,0.110815,-0.2545
1.933,1883.07,0.18229,-0.0781959,-0.3498
1.939,1912.76,-0.0766075,0.881153,-0.151259
1.944,1942.16,-0.0686659,-0.0480177,-0.0940791
1.949,1970.24,-0.100432,0.828738,-0.0893141
1.955,1999.58,-0.599167,0.501543,-0.0781959
1.96,2030.72,0.828738,-0.26403,-0.0781959
1.966,2061.48,-0.34027,0.101285,-0.630933
1.971,2090.93,0.212468,-0.0797842,-0.365683
1.976,2119.13,0.404655,-0.0797842,-0.619815
1.982,2147.43,-0.0623126,-0.0877258,-0.0559593
1.987,2176.33,-0.0702542,1.04793,-0.972424
1.993,2206.06,-0.0750192,0.698496,-0.0813725
1.998,2235.81,0.76997,-0.69129,-0.0813725
2.003,2266.21,0.620668,-0.0813725,-0.600755
2.009,2295.87,0.209291,-0.0766075,-0.367271
2.014,2324.84,-0.0654892,0.674671,-0.127434
2.02,2354.66,-0.0623126,-0.156024,0.0139271
2.025,2385.47,-0.0877258,0.920861,-1.05819
2.03,2416.94,-0.494337,0.445952,-0.0766075
2.036,2447.57,0.871623,-0.0718426,-0.316445
2.041,2476.44,0.690554,-0.0766075,-0.0813725
2.046,2505.21,0.223586,-0.0813725,-0.364095
2.052,2533.89,-0.111551,0.924038,-0.931127
2.057,2564.15,-0.0639009,-0.252912,0.112403
2.062,2594.67,0.585725,-0.584872,-0.0797842
2.068,2624.45,-0.108374,0.45707,-0.289443
2.073,2654.47,0.188643,-0.0781959,-0.356153
2.079,2683.63,0.369712,-0.0813725,-0.777059
2.084,2713.49,-0.0639009,-0.124257,-0.0130745
2.09,2745.4,-0.0639009,0.946275,-0.502279
2.095,2777,-0.526104,0.681024,-0.0829608
2.1,2807.7,0.136228,-0.0750192,-0.316445
2.106,2836.2,0.584136,-0.0718426,-0.108374
2.111,2865.14,0.218821,-0.0734309,-0.365683
2.116,2894.66,-0.0781959,0.746145,-0.786589
2.122,2924.68,-0.0670776,0.723909,-0.0829608
2.127,2955.49,0.463423,-0.597579,-0.0813725
2.132,2986.03,0.723909,-0.0797842,-0.69129
2.138,3015.76,0.223586,-0.0750192,-0.37839
2.143,3045.3,-0.0909025,0.717556,-0.705585
2.149,3075.54,-0.0654892,-0.194144,0.0599885
2.154,3107.33,-0.0766075,0.954216,-0.0797842
2.159,3139.22,-0.553105,0.52378,-0.0813725
2.165,3170.14,0.199761,-0.0750192,-0.367271
2.17,3199.21,0.49519,-0.0797842,-0.468924
2.176,3228.29,-0.0623126,-0.119492,-0.0194278
2.181,3258.22,-0.0956674,1.14323,-0.516574
2.186,3289.38,-0.610285,0.630198,-0.0813725
2.192,3320.58,0.133052,-0.0797842,-0.310091
2.197,3350.73,0.444363,-0.0750192,-0.532457
2.203,3381.13,-0.0623126,-0.0210161,-0.116316
2.208,3411.01,-0.0766075,0.895448,-1.0026
2.213,3442.04,-0.0702542,0.520603,-0.0766075
2.219,3474.43,0.898625,-0.797708,-0.0988441
2.224,3506.32,0.588901,-0.0813725,-0.138552
2.23,3537,-0.0639009,-0.0464293,-0.103609
2.235,3566.11,-0.0654892,0.870035,-0.96607
2.24,3595.21,-0.217969,0.733439,-0.0797842
2.246,3624.83,-0.248147,0.126698,-0.113139
2.251,3653.8,0.417362,-0.0877258,-0.705585
2.257,3683.37,0.183878,-0.0766075,-0.338681
2.262,3712.21,-0.345035,-0.0797842,0.107638
2.267,3739.04,-0.0623126,0.0504586,-0.20685
2.273,3764.6,-0.0750192,0.78903,-0.792943
2.278,3791.25,-0.0670776,-0.0337227,-0.108374
2.283,3818.94,-0.105197,1.01616,-0.856476
2.289,3847.53,-0.0654892,-0.121081,-0.0210161
2.294,3875.33,-0.0972558,1.05905,-0.0909025
2.3,3902.18,-0.0670776,-0.20685,0.0647535
2.305,3928.11,-0.0972558,1.09875,-0.997837
2.31,3953.82,-0.0670776,-0.279913,0.137817
2.316,3980.79,0.488837,-0.521339,-0.0766075
2.321,4008.28,-0.588049,0.395125,-0.0829608
2.326,4035.99,0.593666,-0.645228,-0.0829608
2.332,4063.86,-0.72941,0.585725,-0.426039
2.337,4091.39,0.102873,-0.0750192,-0.27356
2.343,4119.12,0.665141,-0.0797842,-0.148082
2.348,4146.66,0.21088,-0.0734309,-0.360918
2.353,4175.64,-0.0877258,0.692142,-0.799296
2.359,4206.37,-0.0639009,-0.0924908,-0.0511943
2.364,4235.75,-0.0988441,0.966923,-0.913655
2.37,4263.9,-0.0670776,-0.276737,-0.0797842
2.375,4291.19,0.723909,-0.0861375,-0.0781959
2.38,4318.64,-0.0654892,0.472953,-0.0797842
2.386,4347.23,0.557135,-0.721468,-0.0829608
2.391,4376.13,0.790619,-0.0781959,-0.183025
2.396,4405.31,0.206115,-0.0750192,-0.362506
2.402,4434.29,-0.0654892,0.671494,-0.0877258
2.407,4462.99,-0.0670776,-0.0750192,-0.0670776
2.413,4490.99,-0.0877258,1.08922,-0.65317
2.418,4520.24,-0.597579,0.623844,-0.0829608
2.423,4551.22,0.519015,-0.686525,-0.0750192
2.429,4581.95,-0.626168,0.644493,-0.297385
2.434,4611.83,0.215644,-0.0797842,-0.375213
2.44,4639.94,0.679436,-0.0750192,-0.0877258
2.445,4668.13,-0.0639009,-0.117904,-0.0194278
2.45,4696.96,-0.0766075,0.881153,-1.01213
2.456,4727.07,-0.59599,0.480895,-0.0813725
2.461,4757.62,0.44754,-0.72941,-0.0813725
2.467,4787.26,0.641316,-0.0813725,-0.229087
2.472,4816.69,0.220409,-0.0750192,-0.372036
2.477,4844.99,-0.0956674,0.604784,-0.424451
2.483,4874.5,-0.0654892,-0.154436,0.0107504
2.488,4905.64,-0.0924908,0.93198,-1.05819
2.493,4936.5,-0.0702542,0.744557,-0.0797842
2.499,4966.87,0.709614,-0.0813725,-0.306915
2.504,4995.92,0.501543,-0.0766075,-0.630933
2.51,5024.42,0.228351,-0.0781959,-0.367271
2.515,5053.38,-0.0940791,0.847798,-0.812003
2.52,5083.36,-0.0670776,-0.222734,0.0774601
2.526,5113.11,0.517426,-0.608697,-0.0813725
2.531,5143.15,-0.716703,0.522191,-0.0813725
2.537,5172.95,0.147346,-0.0781959,-0.319621
2.542,5201.83,0.336357,-0.0781959,-0.553105
2.547,5231.01,-0.0654892,-0.0146628,-0.125846
2.553,5261.97,-0.0670776,1.17499,-0.345035
2.558,5293.49,-0.0639009,-0.316445,-0.0750192
2.563,5323.57,0.806502,-0.642052,-0.0861375
2.569,5352.36,0.415774,-0.0829608,-0.61505
2.574,5380.99,0.215644,-0.0781959,-0.370448
2.58,5409.32,0.322062,-0.0750192,-0.213204
2.585,5439.38,-0.0670776,-0.102021,-0.0464293
2.59,5469.55,-0.0956674,0.924038,-0.102021
2.596,5499.7,-0.597579,0.704849,-0.0829608
2.601,5528.84,0.433245,-0.716703,-0.0813725
2.606,5558.09,0.404655,-0.0750192,-0.337093
2.612,5587.78,0.231528,-0.0718426,-0.383154
2.617,5618.17,-0.0861375,0.85574,-0.869182
2.622,5650.04,-0.0702542,-0.219557,0.0695185
2.628,5680.38,0.661964,-0.333916,-0.0829608
2.633,5709.57,-0.618227,0.731851,-0.0797842
2.639,5738.24,0.777912,-0.0797842,-0.335505
2.644,5766.68,0.388772,-0.0750192,-0.522927
2.649,5796.92,0.215644,-0.0162511,-0.117904
2.655,5827.71,-0.113139,0.820797,-0.116316
2.66,5858.78,-0.0718426,0.666729,-0.0750192
2.666,5888.82,0.762029,-0.500691,-0.0829608
2.671,5918.22,0.773147,-0.0766075,-0.152847
2.677,5948.77,0.241058,-0.0797842,-0.200497
2.682,5980.17,-0.0686659,0.88433,-0.703996
2.687,6012.3,-0.0654892,-0.29262,0.147346
2.693,6043.44,0.774735,-0.70082,-0.0845492
2.698,6072.67,0.452305,-0.0781959,-0.526104
2.704,6102.18,0.229939,-0.0813725,-0.386331
2.709,6131.76,0.444363,-0.0766075,-0.642052
2.714,6163.03,-0.0654892,-0.224322,0.0869901
2.72,6194.08,0.538075,-0.143317,-0.0781959
2.725,6224.91,0.50472,-0.102021,-0.0829608
2.731,6255.35,0.212468,-0.0766075,-0.375213
2.736,6285.03,-0.0718426,0.563488,-0.813591
2.741,6314.9,-0.0654892,-0.16873,0.032987
2.747,6346.81,-0.0607243,0.966923,-0.303738
2.752,6378.23,-0.0734309,0.506308,-0.0813725
2.757,6409.28,0.19182,-0.0781959,-0.356153
2.763,6438.4,0.676259,-0.0813725,-0.554694
2.768,6467.5,-0.0670776,-0.0845492,-0.0575476
2.774,6496.83,-0.0734309,0.857328,-0.945422
2.779,6527.91,-0.495926,0.568253,-0.0813725
2.784,6558.78,0.499955,-0.55787,-0.249735
2.79,6589.22,0.692142,-0.0797842,-0.60552
2.795,6619.24,-0.0670776,0.0536352,-0.190967
2.801,6648.59,-0.0670776,0.735027,-0.835827
2.806,6679.23,-0.446688,0.353829,-0.0829608
2.812,6711.11,0.455482,-0.581695,-0.0829608
2.817,6742.8,0.368124,-0.0750192,-0.649993
2.822,6773.48,0.234704,-0.0797842,-0.381566
2.828,6802.25,-0.111551,0.801737,-0.130611
2.833,6831.21,-0.0686659,-0.221145,0.0742835
2.838,6860.57,0.47613,-0.654758,-0.0813725
2.844,6891.03,-0.0766075,0.857328,-0.0766075
2.849,6922.65,0.183878,-0.0781959,-0.352976
2.855,6953.06,-0.0734309,0.669906,-0.669053
2.86,6983.19,-0.0654892,-0.0909025,-0.0511943
2.865,7012.84,0.55237,-0.57693,-0.0829608
2.871,7042.88,-0.551517,0.465012,-0.0829608
2.876,7075.16,0.717556,-0.616638,-0.100432
2.882,7106.91,0.692142,-0.0797842,-0.541987
2.887,7136.95,-0.0670776,-0.0432527,-0.102021
2.892,7166.09,-0.0877258,1.16388,-0.972424
2.898,7195.12,-0.649993,0.607961,-0.0781959
2.903,7225.27,0.507897,-0.694466,-0.0829608
2.908,7255.44,0.587313,-0.0845492,-0.621403
2.914,7286.69,0.225174,-0.0750192,-0.384743
2.919,7317.17,-0.0702542,0.636551,-0.516574
2.925,7346.84,-0.622992,0.661964,-0.0781959
2.93,7376.77,0.579371,-0.475277,-0.0781959
2.935,7407.71,0.690554,-0.0909025,-0.627757
2.941,7440.43,0.242646,-0.0813725,-0.386331
2.946,7471.97,-0.111551,0.825562,-0.121081
2.951,7502.34,-0.0623126,-0.240205,0.0981084
2.957,7531.59,0.701672,-0.151259,-0.0829608
2.962,7561.1,-0.718291,0.717556,-0.0829608
2.968,7591.38,0.218821,-0.0766075,-0.373625
2.973,7622.43,0.641316,-0.0781959,-0.514986
2.978,7653.77,-0.0686659,-0.144906,0.00598543
2.984,7684.42,0.396714,-0.578519,-0.0813725
2.989,7714.35,-0.584872,0.534898,-0.146494
2.994,7745.21,0.215644,-0.0766075,-0.379978
3,7776.72,-0.105197,0.7795,-0.203674
3.005,7808.96,-0.0639009,-0.200497,0.0584002
3.011,7840.76,0.619079,-0.402214,-0.0813725
3.016,7870.69,-0.657935,0.598431,-0.0766075
3.021,7900.64,0.221998,-0.0781959,-0.379978
3.027,7930.5,0.445952,-0.0781959,-0.597579
3.032,7961.42,-0.0639009,-0.170319,0.0298103
3.038,7992.21,0.425304,-0.635698,-0.0813725
3.043,8023.17,-0.708761,0.541251,-0.0861375
3.048,8053.72,0.179113,-0.0718426,-0.346623
3.054,8083.52,0.44754,-0.0813725,-0.767529
3.059,8114.02,-0.0623126,-0.135376,0.00122045
3.065,8146.57,-0.0702542,0.963746,-1.07884
3.07,8178.83,-0.583284,0.768382,-0.0766075
3.075,8209.68,0.204526,-0.0718426,-0.372036
3.081,8239.08,0.525368,-0.0797842,-0.252912
3.086,8268.88,-0.0670776,-0.148082,0.018692
3.092,8298.96,-0.0861375,1.00981,-0.0750192
3.097,8329.8,-0.667465,0.75091,-0.0797842
3.102,8361.2,0.150523,-0.0718426,-0.322798
3.108,8392.07,0.39989,-0.0781959,-0.630933
3.113,8422.03,-0.0639009,-0.0527826,-0.0845492
3.119,8451.91,-0.111551,1.03522,-0.0781959
3.124,8482.68,-0.65317,0.790619,-0.0829608
3.129,8514.67,0.960569,-0.71988,-0.0877258
