time, angle [deg], U Currrent [A], V Current [A], W Current [A]
0,219.512,-0.0639009,-0.0781959,-0.0861375
0.175,219.204,-0.0639009,0.698496,-0.864417
0.189,219.622,-0.0654892,0.619079,-0.875536
0.196,219.424,-0.0591359,0.876388,-0.870771
0.201,219.424,-0.0702542,0.698496,-0.866006
0.208,219.578,-0.0639009,0.703261,-0.840592
0.213,219.556,-0.0686659,0.871623,-0.880301
0.219,219.468,-0.0702542,0.84621,-0.0813725
0.225,219.402,-0.0654892,0.709614,-0.0845492
0.232,219.49,-0.0654892,1.00504,-0.114727
0.238,219.556,-0.0607243,0.704849,-0.813591
0.243,219.424,-0.0623126,0.755675,-0.0956674
0.248,219.446,-0.0670776,0.997101,-0.877124
0.254,219.512,-0.0654892,0.843033,-0.0861375
0.259,219.49,-0.0623126,0.650846,-0.853299
0.264,219.468,-0.0654892,0.623844,-0.143317
0.27,219.49,-0.0607243,0.776324,-0.0845492
0.275,219.49,-0.0702542,0.776324,-0.837416
0.28,219.512,-0.0654892,0.755675,-0.0845492
0.289,219.512,-0.0654892,1.04793,-0.819944
0.295,219.49,-0.0639009,0.897036,-0.68176
0.301,219.468,-0.0654892,0.75091,-0.761176
0.307,219.49,-0.0654892,0.704849,-0.31168
0.313,219.468,-0.0670776,0.623844,-0.105197
0.319,219.49,-0.0639009,0.809678,-0.480042
0.324,219.49,-0.0686659,0.768382,-0.106786
0.335,219.534,-0.0639009,0.968511,-0.781824
0.341,219.534,-0.0623126,0.796972,-0.794531
0.346,219.49,-0.0686659,0.870035,-0.746881
0.352,219.49,-0.0623126,0.744557,-0.6627
0.358,219.49,-0.0623126,0.990748,-0.851711
0.363,219.556,-0.0686659,0.777912,-0.0877258
0.37,219.49,-0.0686659,0.76997,-0.108374
0.378,219.49,-0.0686659,0.763617,-0.821533
0.384,219.49,-0.0686659,0.857328,-0.0829608
0.39,219.578,-0.0686659,0.723909,-0.832651
0.397,219.49,-0.0702542,0.881153,-0.859652
0.403,219.446,-0.0639009,0.622256,-0.807238
0.413,219.512,-0.0670776,0.733439,-0.0861375
0.419,219.446,-0.0686659,1.02728,-0.878712
0.426,219.49,-0.0623126,0.763617,-0.119492
0.439,219.468,-0.0623126,0.654023,-0.106786
0.448,219.49,-0.0623126,0.901801,-0.116316
0.454,219.468,-0.0654892,0.844622,-0.27356
0.46,219.534,-0.0623126,1.04316,-0.799296
0.465,219.468,-0.0654892,0.687377,-0.759588
0.471,219.512,-0.0670776,0.663552,-0.0845492
0.476,219.49,-0.0670776,0.92245,-0.549929
0.482,219.512,-0.0702542,0.773147,-0.0893141
0.49,219.49,-0.0623126,1.04316,-0.772294
0.495,219.468,-0.0670776,0.660376,-0.564224
0.501,219.49,-0.0639009,0.839857,-0.845357
0.506,219.512,-0.0639009,0.641316,-0.812003
0.512,219.512,-0.0623126,0.628609,-0.862829
0.518,219.49,-0.0670776,0.871623,-0.769118
0.523,219.468,-0.0623126,1.01457,-0.873947
0.529,219.49,-0.0639009,0.862093,-0.881889
0.535,219.49,-0.0686659,0.638139,-0.881889
0.54,219.512,-0.0670776,0.666729,-0.705585
0.545,219.49,-0.0591359,0.966923,-0.121081
0.551,219.446,-0.0686659,0.84621,-0.688113
0.558,219.49,-0.0686659,0.646081,-0.148082
0.564,219.446,-0.0623126,0.674671,-0.872359
0.57,219.446,-0.0639009,1.06063,-0.875536
0.576,219.534,-0.0686659,0.825562,-0.832651
0.582,219.49,-0.0639009,0.746145,-0.886654
0.59,219.468,-0.0686659,0.952628,-0.711938
0.596,219.512,-0.0654892,0.90339,-0.735763
0.603,219.468,-0.0670776,0.933568,-0.772294
0.61,219.468,-0.0639009,1.05428,-0.751646
0.616,219.49,-0.0702542,0.642904,-0.883477
0.621,219.512,-0.0654892,0.82715,-0.0924908
0.627,219.468,-0.0623126,0.747734,-0.116316
0.632,219.512,-0.0654892,0.806502,-0.781824
0.638,219.446,-0.0639009,0.700084,-0.0956674
0.643,219.512,-0.0639009,0.887506,-0.356153
0.648,219.468,-0.0639009,0.731851,-0.0893141
0.654,219.512,-0.0702542,0.82715,-0.489572
0.659,219.49,-0.0639009,0.993924,-0.808826
0.664,219.49,-0.0639009,0.850975,-0.873947
0.67,219.512,-0.0623126,0.82715,-0.195732
0.675,219.534,-0.0702542,0.850975,-0.866006
0.681,219.49,-0.0670776,0.785854,-0.114727
0.686,219.49,-0.0654892,0.722321,-0.843769
0.691,219.424,-0.0670776,0.939921,-0.873947
0.697,219.512,-0.0702542,0.998689,-0.438746
0.702,219.446,-0.0623126,0.715967,-0.629345
0.707,219.49,-0.0623126,0.833503,-0.561047
0.713,219.49,-0.0639009,0.897036,-0.113139
0.718,219.446,-0.0623126,0.696907,-0.878712
0.724,219.49,-0.0654892,0.633374,-0.883477
0.729,219.49,-0.0623126,0.987571,-0.0861375
0.734,219.49,-0.0670776,0.973276,-0.843769
0.74,219.534,-0.0623126,0.676259,-0.108374
0.745,219.446,-0.0639009,0.900213,-0.0877258
0.751,219.424,-0.0686659,-0.0750192,-0.149671
0.756,219.182,-0.0639009,-0.0766075,-0.0797842
0.761,218.94,-0.0639009,0.801737,-0.130611
0.767,219.248,-0.0686659,0.749322,-0.0893141
0.772,219.709,-0.0639009,0.627021,-0.1592
0.777,219.797,-0.0654892,0.715967,-0.111551
0.783,219.556,-0.0623126,0.892271,-0.839004
0.788,219.292,-0.0670776,0.634963,-0.465747
0.793,219.38,-0.0639009,1.05587,-0.791354
0.799,219.578,-0.0654892,0.806502,-0.867594
0.805,219.644,-0.0686659,0.78903,-0.451453
0.811,219.446,-0.0686659,1.02569,-0.629345
0.817,219.358,-0.0670776,0.666729,-0.851711
0.823,219.49,-0.0686659,0.825562,-0.499102
0.828,219.534,-0.0670776,0.979629,-0.818356
0.834,219.468,-0.0702542,0.654023,-0.0909025
0.839,219.446,-0.0654892,1.04475,-0.694466
0.846,219.534,-0.0654892,0.957393,-0.775471
0.852,219.534,-0.0639009,0.682612,-0.810414
0.857,219.468,-0.0639009,0.92245,-0.851711
0.863,219.446,-0.0670776,0.914508,-0.823121
0.868,219.468,-0.0686659,0.785854,-0.0972558
0.874,219.556,-0.0686659,0.701672,-0.0956674
0.879,219.512,-0.0654892,0.879565,-0.116316
0.885,219.446,-0.0639009,1.00981,-0.138552
0.89,219.512,-0.0670776,1.05269,-0.850122
0.895,219.556,-0.0623126,0.708026,-0.837416
0.901,219.468,-0.0750192,0.965334,-0.864417
0.909,219.468,-0.0654892,0.652434,-0.664288
0.914,219.446,-0.0654892,0.954216,-0.877124
0.922,219.534,-0.0686659,0.976453,-0.867594
0.928,219.49,-0.0686659,0.979629,-0.256088
0.933,219.49,-0.0639009,0.628609,-0.688113
0.939,219.534,-0.0639009,0.673082,-0.848534
0.945,219.468,-0.0702542,0.984394,-0.834239
0.95,219.512,-0.0623126,1.05746,-0.0956674
0.956,219.49,-0.0702542,0.933568,-0.881889
0.964,219.468,-0.0654892,0.801737,-0.696055
0.97,219.468,-0.0702542,1.03046,-0.848534
0.975,219.512,-0.0654892,1.04634,-0.845357
0.982,219.49,-0.0654892,0.696907,-0.858064
0.987,219.49,-0.0623126,0.91292,-0.883477
0.993,219.446,-0.0702542,0.854152,-0.875536
0.998,219.49,-0.0654892,1.05587,-0.519751
1.004,219.534,-0.0654892,0.714379,-0.757999
1.014,219.468,-0.0639009,0.722321,-0.476866
1.022,219.512,-0.0623126,0.655611,-0.877124
1.029,219.49,-0.0607243,0.916096,-0.597579
1.035,219.49,-0.0623126,0.661964,-0.877124
1.042,219.446,-0.0686659,0.668317,-0.850122
1.047,219.446,-0.0670776,0.90339,-0.880301
1.055,219.468,-0.0639009,0.955805,-0.176672
1.061,219.49,-0.0639009,0.998689,-0.0909025
1.067,219.49,-0.0639009,1.04952,-0.459394
1.073,219.49,-0.0639009,0.882742,-0.835827
1.078,219.534,-0.0639009,0.895448,-0.72941
1.085,219.49,-0.0686659,0.916096,-0.886654
1.092,219.468,-0.0702542,0.895448,-0.513397
1.097,219.468,-0.0591359,0.917685,-0.73894
1.103,219.534,-0.0639009,0.989159,-0.545164
1.11,219.446,-0.0639009,0.925626,-0.881889
1.116,219.512,-0.0654892,0.843033,-0.777059
1.123,219.512,-0.0623126,1.02728,-0.125846
1.131,219.49,-0.0623126,1.05428,-0.648405
1.14,219.468,-0.0686659,0.971688,-0.670642
1.147,219.468,-0.0670776,0.843033,-0.854887
1.153,219.512,-0.0670776,0.863682,-0.221145
1.159,219.446,-0.0686659,0.774735,-0.724645
1.166,219.468,-0.0686659,0.930391,-0.870771
1.172,219.468,-0.0639009,0.696907,-0.881889
1.179,219.468,-0.0702542,0.692142,-0.886654
1.184,219.468,-0.0702542,0.868447,-0.829474
1.191,219.446,-0.0654892,0.784265,-0.676995
1.199,219.512,-0.0670776,0.669906,-0.869182
1.206,219.49,-0.0702542,0.682612,-0.837416
1.212,219.49,-0.0702542,0.752499,-0.0829608
