time [sec], Angle [deg], Uph-Current [A], Vph-Current [A], Wph-Current [A]
2.469,7198.63,1.36036,-0.995066,-0.365295
2.489,7270.08,-0.136294,1.06354,-0.927244
2.51,7333.9,-0.895203,-0.134315,1.02952
2.53,7400.91,1.28066,-0.803183,-0.477473
2.55,7471.58,-0.21056,1.0037,-0.793135
2.57,7535.95,-0.735512,-0.174531,0.910043
2.59,7605.53,1.15667,-0.751065,-0.405606
2.61,7673.27,-0.28584,0.906934,-0.621095
2.631,7737.63,-0.564553,-0.268529,0.833082
2.651,7807.95,1.1448,-0.409849,-0.734952
2.671,7875.16,-0.409001,0.835615,-0.426614
2.691,7941.44,-0.317521,-0.363352,0.680873
2.711,8010.34,1.03854,-0.212594,-0.825944
2.731,8075.8,-0.559503,0.681209,-0.121706
2.752,8143.05,-0.0635924,-0.504522,0.568114
2.772,8213.09,0.938555,0.191151,-1.12971
2.792,8280.37,-0.526784,0.4886,0.0381835
2.812,8347.65,-0.0407096,-0.668604,0.709314
2.832,8415.34,0.349607,0.619283,-0.96889
2.853,8482.03,-1.02778,0.283537,0.744238
2.873,8550.2,0.862772,-0.85407,-0.00870131
2.893,8618.09,0.375799,0.619018,-0.994817
2.913,8687.04,-1.26652,-0.00651565,1.27304
2.933,8753.99,1.48928,-1.22776,-0.261516
2.954,8820.98,0.00117576,1.18808,-1.18926
2.974,8890.08,-1.29814,-0.0140578,1.3122
2.994,8958.14,1.49407,-1.15707,-0.336992
3.014,9027.13,0.0199431,1.18924,-1.20919
3.034,9094.63,-1.23759,-0.0345502,1.27214
3.055,9161.01,1.45767,-1.16129,-0.296375
3.075,9230.65,-0.0160022,1.16542,-1.14941
3.095,9298.54,-1.2179,-0.0440356,1.26193
3.115,9366.31,1.47461,-1.08526,-0.389357
3.135,9435.75,-0.0157278,1.16302,-1.1473
3.156,9501.15,-1.14381,-0.0525031,1.19632
3.176,9569.15,1.41857,-1.09093,-0.327633
3.196,9638.9,-0.0477699,1.14078,-1.09301
3.216,9704.73,-1.02255,-0.0766786,1.09922
3.236,9773.61,1.35571,-1.01811,-0.337603
3.257,9840.21,-0.090781,1.10752,-1.01673
3.277,9906.68,-0.922714,-0.138031,1.06074
3.297,9975.7,1.29777,-0.766719,-0.53105
3.317,10042.7,-0.138647,1.05678,-0.91813
3.337,10112.1,-0.854491,-0.133495,0.987985
3.358,10179.8,1.29084,-0.819608,-0.471229
3.378,10245.3,-0.212678,0.99725,-0.784572
3.398,10314.2,-0.754816,-0.182637,0.937453
3.418,10382.8,1.21076,-0.626487,-0.58427
3.438,10450.7,-0.226652,0.993125,-0.766472
3.458,10518.1,-0.715938,-0.168566,0.884504
3.479,10584.7,1.11848,-0.601789,-0.516692
3.499,10653.2,-0.296165,0.918585,-0.62242
3.519,10720.9,-0.318495,-0.3595,0.677995
3.539,10786.9,1.11371,-0.405644,-0.708071
3.559,10858.3,-0.424075,0.795183,-0.371108
3.579,10924.1,-0.327768,-0.358812,0.68658
3.6,10989.5,0.763502,-0.145413,-0.61809
3.62,11060.9,-0.569209,0.67235,-0.103141
3.64,11127.4,-0.00985713,-0.485262,0.49512
3.66,11194.8,0.905558,-0.136005,-0.769553
3.68,11263.8,-0.740011,0.503464,0.236547
3.701,11329.5,0.108034,-0.47181,0.363776
3.721,11398,0.622095,0.190541,-0.812636
3.741,11467.1,-0.766635,0.48918,0.277456
3.761,11535.1,0.373013,-0.881603,0.50859
3.781,11602.5,0.407841,0.623781,-1.03162
3.802,11668.7,-1.07585,0.212663,0.863187
