time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.317,344.222,1.26301,2.36956,-3.63258,-4.50286,-0.348349
0.319,343.628,1.26301,2.36956,-3.63258,-4.50086,-0.384613
0.319,343.606,1.26301,2.36956,-3.63258,-4.49529,-0.444996
0.32,343.475,1.26301,2.36956,-3.63258,-4.48173,-0.577541
0.325,342.903,1.26301,2.36956,-3.63258,-4.45731,-0.733526
0.326,342.947,1.26301,2.36956,-3.63258,-4.45926,-0.721557
0.326,342.947,1.26301,2.36956,-3.63258,-4.49647,-0.396695
0.33,343.584,1.26301,2.36956,-3.63258,-4.50286,-0.36044
0.331,343.672,1.26301,2.36956,-3.63258,-4.51025,-0.239432
0.332,343.914,1.26301,2.36956,-3.63258,-4.5127,-0.203092
0.332,343.914,1.26301,2.36956,-3.63258,-4.51602,-0.106127
0.332,344.112,1.26301,2.36956,-3.63258,-4.51652,-0.0818767
0.333,344.222,1.26301,2.36956,-3.63258,-4.5152,0.136401
0.335,344.793,1.26301,2.36956,-3.63258,-4.50238,0.366449
0.335,344.947,1.26301,2.36956,-3.63258,-4.49928,0.450995
0.336,345.123,1.26301,2.36956,-3.63258,-4.48685,0.523337
0.337,345.43,1.26301,2.36956,-3.63258,-4.41283,0.965736
0.339,346.287,1.26301,2.36956,-3.63258,-4.36728,1.15435
0.34,346.463,1.26301,2.36956,-3.63258,-4.32082,1.31765
0.341,346.859,1.26301,2.36956,-3.63258,-4.11064,1.9061
0.346,347.936,1.26301,2.36956,-3.63258,-4.04817,2.00449
0.346,348.067,1.26301,2.36956,-3.63258,-3.9815,2.13385
0.349,348.397,1.26301,2.36956,-3.63258,-3.93476,2.21886
0.35,348.441,1.26301,2.36956,-3.63258,-3.93476,2.21886
0.35,348.463,1.26301,2.36956,-3.63258,-3.92279,2.23996
0.352,348.507,1.26301,2.36956,-3.63258,-3.95836,2.1871
0.354,348.331,1.26301,2.36956,-3.63258,-3.98722,2.12315
0.355,348.331,1.26301,2.36956,-3.63258,-4.03735,2.03703
0.357,348.001,1.26301,2.36956,-3.63258,-4.11064,1.83988
0.359,347.738,1.26301,2.36956,-3.63258,-4.13541,1.8177
0.359,347.562,1.26301,2.36956,-3.63258,-4.18272,1.69479
0.361,347.21,1.26301,2.36956,-3.63258,-4.24387,1.54765
0.362,347.1,1.26301,2.36956,-3.63258,-4.27613,1.42166
0.363,346.947,1.26301,2.36956,-3.63258,-4.33129,1.2828
0.366,346.046,1.26301,2.36956,-3.63258,-4.47942,0.595544
0.371,345.057,1.26301,2.36956,-3.63258,-4.51297,0.196999
0.372,344.639,1.26301,2.36956,-3.63258,-4.51718,-0.00911363
0.374,344.222,1.26301,2.36956,-3.63258,-4.51602,-0.106127
0.375,343.98,1.26301,2.36956,-3.63258,-4.51213,-0.215207
0.376,343.848,1.26301,2.36956,-3.63258,-4.50808,-0.287861
0.377,343.672,1.26301,2.36956,-3.63258,-4.50188,-0.372528
0.378,343.65,1.26301,2.36956,-3.63258,-4.49529,-0.444996
0.38,343.431,1.26301,2.36956,-3.63258,-4.49284,-0.469127
0.38,343.409,1.26301,2.36956,-3.63258,-4.48614,-0.529395
0.381,343.365,1.26301,2.36956,-3.63258,-4.48754,-0.517349
0.381,343.365,1.26301,2.36956,-3.63258,-4.49025,-0.493245
0.382,343.299,1.26301,2.36956,-3.63258,-4.48754,-0.517349
0.382,343.299,1.26301,2.36956,-3.63258,-4.49156,-0.481188
0.383,343.365,1.26301,2.36956,-3.63258,-4.48891,-0.505299
0.383,343.365,1.26301,2.36956,-3.63258,-4.48891,-0.505299
0.383,343.387,1.26301,2.36956,-3.63258,-4.48754,-0.517349
0.384,343.409,1.26301,2.36956,-3.63258,-4.50381,-0.348349
0.387,343.672,1.26301,2.36956,-3.63258,-4.5127,-0.203092
0.389,344.046,1.26301,2.36956,-3.63258,-4.51714,-0.0454966
0.391,344.288,1.26301,2.36956,-3.63258,-4.51709,0.02727
0.391,344.31,1.26301,2.36956,-3.63258,-4.51555,0.124278
0.392,344.507,1.26301,2.36956,-3.63258,-4.51396,0.172763
0.393,344.595,1.26301,2.36956,-3.63258,-4.51242,0.209114
0.393,344.683,1.26301,2.36956,-3.63258,-4.51184,0.257561
0.393,344.793,1.26301,2.36956,-3.63258,-4.50689,0.305978
