time, angle [deg], U Currrent [A], V Current [A], W Current [A]
0,256.035,0.0731445,0.0535522,0.0705322
0.238,257.771,0.0666138,0.00914307,0
0.254,267.396,0.0692261,0.521155,0.484583
0.265,273.725,0.0744507,0,0.00783691
0.276,267.967,0.0796753,0.514624,0.455847
0.287,264.781,0.0822876,0.0626953,0.0653076
0.297,269.769,0.0705322,0.0796753,0.0692261
0.31,269.132,0.0835937,0.365723,0.351355
0.321,266.451,0.0679199,0,0
0.331,268.714,0.0783691,0.44801,0.428418
0.342,268.758,0.0744507,0,0
0.352,267.374,0.0666138,0.540747,0.495032
0.364,268.407,0.0809814,0,0
0.374,268.121,0.0744507,0.574707,0.505481
0.385,267.704,0.0809814,0,0.0195923
0.396,268.297,0.0731445,0.530298,0.479358
0.406,267.945,0.0666138,0.0417969,0.0470215
0.417,268.055,0.0796753,0.468909,0.416663
0.427,268.099,0.0705322,0.0809814,0.094043
0.438,268.033,0.077063,0.144983,0.100574
0.45,268.077,0.0653076,0.325232,0.303027
0.46,268.011,0.0809814,0,0
0.471,267.967,0.0679199,0.415356,0.39707
0.482,268.077,0.0848999,0,0
0.493,267.967,0.0731445,0.521155,0.496338
0.503,268.011,0.0653076,0,0
0.514,268.011,0.0796753,0.572095,0.521155
0.524,268.055,0.0679199,0,0.00653076
0.535,268.033,0.0835937,0.54989,0.49895
0.546,267.989,0.0666138,0.0378784,0.0352661
0.558,267.923,0.0888184,0.425806,0.370947
0.568,268.099,0.0822876,0.109717,0.124084
0.579,268.011,0.0783691,0.133228,0.108411
0.59,268.077,0.0862061,0.365723,0.365723
0.6,268.033,0.0653076,0,0
0.612,268.033,0.0848999,0.489807,0.458459
0.622,268.011,0.0796753,0,0
0.633,268.011,0.0783691,0.536829,0.504175
0.643,267.989,0.0640015,0,0
0.654,268.055,0.0927368,0.56687,0.519849
0.664,268.055,0.0875122,0,0
0.674,268.033,0.0718384,0.559033,0.510706
0.685,268.011,0.0744507,0.0117554,0.0104492
0.695,267.989,0.0757568,0.542053,0.496338
0.706,267.989,0.077063,0.026123,0.0326538
0.716,268.033,0.0809814,0.491113,0.444092
0.727,268.011,0.0718384,0.0535522,0.0548584
0.737,268.099,0.0731445,0.449316,0.402295
0.747,267.989,0.0757568,0.0835937,0.094043
