time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.264,107.657,-0.0119568,0.848368,-0.836411,0.647071,1.00038
0.265,107.701,-0.373387,0.0447176,0.328669,-0.491542,0.0871523
0.266,107.635,0.280376,-0.00192284,-0.278453,0.394296,-0.027163
0.268,107.679,-0.113609,-0.078461,0.19207,-0.221976,-0.084116
0.268,107.679,0.115607,0.0363462,-0.151953,0.191347,0.0340893
0.271,107.613,0.391994,-0.108359,-0.283636,0.468901,-0.16119
0.271,107.635,0.13886,-0.078461,-0.0603995,0.134304,-0.105113
0.272,107.679,0.114942,0.267157,-0.382099,0.37213,0.302486
0.273,107.701,-0.31027,-0.0593265,0.369596,-0.484463,-0.0410291
0.273,107.657,-0.0571356,-0.078461,0.135597,-0.142514,-0.0865836
0.274,107.635,0.40196,0.733561,-1.13552,1.14143,0.834503
0.275,107.657,-0.142178,-0.815141,0.957319,-0.838616,-0.947551
0.275,107.613,-0.118924,0.0734194,0.0455048,-0.110393,0.0964493
0.277,107.679,-0.235193,-0.720664,0.955857,-0.895961,-0.828004
0.278,107.701,-0.0285667,-0.193268,0.221835,-0.190363,-0.226145
0.279,107.657,0.327548,0.379572,-0.70712,0.755977,0.422093
0.279,107.613,0.221245,-0.376242,0.154997,0.017817,-0.462833
0.28,107.613,-0.00132655,-0.0413878,0.0427144,-0.0340015,-0.0488173
0.281,107.591,-0.0757386,-0.656085,0.731824,-0.61624,-0.769414
0.282,107.613,0.242506,-0.0425837,-0.199922,0.309332,-0.0700356
0.282,107.613,0.253136,-0.078461,-0.174675,0.29649,-0.112514
0.283,107.569,0.168094,-0.730231,0.562137,-0.33424,-0.875086
0.284,107.613,-0.0119568,-0.138256,0.150213,-0.123771,-0.162796
0.285,107.591,0.318247,0.996661,-1.31491,1.22301,1.15232
0.286,107.591,0.13886,0.323364,-0.462225,0.446078,0.372173
0.286,107.547,-0.0332174,-0.859389,0.892607,-0.714026,-1.0132
0.287,107.591,-0.129554,-0.845038,0.974593,-0.841553,-0.986152
0.288,107.613,0.348809,0.169092,-0.517901,0.623276,0.173229
0.289,107.591,-0.0597932,0.733561,-0.673768,0.480339,0.8746
0.289,107.569,0.1176,0.379572,-0.497172,0.461869,0.439145
0.29,107.569,-0.161445,-0.690766,0.852212,-0.76417,-0.805499
0.29,107.591,0.199985,-0.251868,0.0518831,0.0876768,-0.313745
0.291,107.591,-0.347476,0.212145,0.135331,-0.32591,0.279876
0.292,107.613,-0.245823,0.026779,0.219044,-0.326285,0.0516221
